API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, Mcf","Water Produced, bbl","Oil Produced, bbl",Reporting Year,New Georeferenced Column
31003007660000,Allegany,"Stark, Eric",00766,00,00,OD,Fulmer Valley,IN,Brandes 08327,Wellsville,Richburg,0,0,0,0,2018,"Wellsville, NY (42.120693, -77.946058)"
31003043620000,Allegany,Richardson Petroleum Corp.,04362,00,00,OD,Beech Hill-Independence,AC,Potter L 2,Independence,Fulmer Valley,12,35,1,1,2018,"Independence, NY (42.088045, -77.781386)"
31003044210000,Allegany,Klein Oil & Logging,04421,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 1,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003044250000,Allegany,"Plants and Goodwin, Inc.",04425,00,00,OD,Beech Hill-Independence,AC,Forsythe (Bloss) 1,Independence,Fulmer Valley,12,73,0,0,2018,"Independence, NY (42.088045, -77.781386)"
31003044800000,Allegany,"Plants and Goodwin, Inc.",04480,00,00,OD,Beech Hill-Independence,AC,Bloss Old Forysth Farm 1,Independence,Fulmer Valley,12,73,0,0,2018,"Independence, NY (42.088045, -77.781386)"
31003045980000,Allegany,"Smith, Rodney L.",04598,00,00,OD,Fulmer Valley,IN,Braunschweiger  2,Wellsville,Fulmer Valley,0,0,0,0,2018,"Wellsville, NY (42.120693, -77.946058)"
31003048250000,Allegany,Richardson Petroleum Corp.,04825,00,00,OD,Beech Hill-Independence,AC,2 L. Potter,Independence,Fulmer Valley,12,0,0,35,2018,"Independence, NY (42.088045, -77.781386)"
31003049580000,Allegany,"Sandstone Oil & Gas Development, LLC",04958,00,00,OD,Richburg,AC,Slade Lot 29 F-23,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003049590000,Allegany,"Sandstone Oil & Gas Development, LLC",04959,00,00,IW,Richburg,IN,Slade Lot 29 B-11,Genesee,Richburg,0,0,0,0,2018,"Genesee, NY (42.02693, -78.205893)"
31003049600000,Allegany,"Sandstone Oil & Gas Development, LLC",04960,00,00,IW,Richburg,IN,Slade Lot 29 G-2,Genesee,Richburg,0,0,0,0,2018,"Genesee, NY (42.02693, -78.205893)"
31003049610000,Allegany,"Sandstone Oil & Gas Development, LLC",04961,00,00,OD,Richburg,AC,Slade Lot 29 H-3,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003049620000,Allegany,"Sandstone Oil & Gas Development, LLC",04962,00,00,OD,Richburg,AC,Slade Lot 29 E-45,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003049630000,Allegany,"Sandstone Oil & Gas Development, LLC",04963,00,00,OD,Richburg,AC,Slade Lot 29 C-45,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003050370000,Allegany,Richardson Petroleum Corp.,05037,00,00,OD,Beech Hill-Independence,AC,Stillman 3,Independence,Fulmer Valley,12,236,3,23,2018,"Independence, NY (42.088045, -77.781386)"
31003052680000,Allegany,"C.O.G. Development & Resources, Inc.",05268,00,00,OD,Richburg,IN,Meadowbank mb10,Bolivar,Richburg,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003052810000,Allegany,"Sandstone Oil & Gas Development, LLC",05281,00,00,OD,Richburg,AC,Slade Lot 29 H-23,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003052990000,Allegany,"Sandstone Oil & Gas Development, LLC",05299,00,00,OD,Richburg,AC,Slade Lot 29 H-34,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003053050000,Allegany,Klein Oil & Logging,05305,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 16,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003053390000,Allegany,Klein Oil & Logging,05339,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 18,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003053480000,Allegany,"Sandstone Oil & Gas Development, LLC",05348,00,00,OD,Richburg,AC,Slade Lot 29 G-45,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003053800000,Allegany,Richardson Petroleum Corp.,05380,00,00,IW,Beech Hill-Independence,AC,Quintette-Bledsoe  34,Independence,Fulmer Valley,12,56,1,2,2018,"Independence, NY (42.088045, -77.781386)"
31003053810000,Allegany,Richardson Petroleum Corp.,05381,00,00,OD,Beech Hill-Independence,AC,Potter 11,Independence,Fulmer Valley,12,35,1,1,2018,"Independence, NY (42.088045, -77.781386)"
31003053860000,Allegany,"Sandstone Oil & Gas Development, LLC",05386,00,00,IW,Richburg,IN,Slade Lot 29 I-33,Genesee,Richburg,0,0,0,0,2018,"Genesee, NY (42.02693, -78.205893)"
31003054460000,Allegany,"C.O.G. Development & Resources, Inc.",05446,00,00,OD,Richburg,IN,Meadowbank mb11,Bolivar,Richburg,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003054630000,Allegany,Estate of James Robert Wells,05463,00,00,OD,Richburg,AC,Alma Hill Lot 79 1579,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
31003054880000,Allegany,Estate of James Robert Wells,05488,00,00,OD,Richburg,AC,Alma Hill Lot 79 1679,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
